会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社秀光ビルド,＼テレアポ・飛び込み・個人ノルマ一切なし／　お客様に寄り添った住まいづくりのご提案　★100％反響営業！ご来店されたお客様に対応します,【原則転勤なし／マイカー通勤OK】 東北、北陸、甲信越・東海、近畿、中国、四国の各拠点に希望を考慮…,300万円～600万円,＼未経験・第二新卒歓迎！人物重視の採用／　★特別な資格や建築業界の経験は不問！★新しい方をイチから育てる方針です ◆要普通免許（AT限定可）,月給20万円〜40万円 ＋ 諸手当 ＋ インセンティブ ※経験・年齢を考慮の上、当社規定により優遇します ※…,2020/11/06
HITOWAライフパートナー株式会社,◆個人宅のハウスクリーニングが中心。技術や営業ノウハウが学べる研修からスタートし、経営が軌道に乗るよう集客面でもバックアップします！,全国47都道府県の開業希望エリア ※開業をご希望されるエリアにより異なります ※開業エリアの希望を…,,年齢・経験・学歴不問／未経験歓迎◆要自普免(AT限定可)◆95％以上が未経験からスタート！自宅で1人から開業でき、技術を身につけ生涯活躍できます！,"【収入例（あくまでも個人開業の場合の一例です）】 売上：976,000円−（原価：49,000円＋販管費：307,70…",2020/11/17
株式会社ダイナミクス,＼自由度×裁量が大きい当社で一緒に会社を盛り上げよう／◆30ブランドの内、いずれかの店舗運営をお任せ★動画マニュアルで未経験も安心★残業月20h,★---30ブランド&100店舗以上を展開---★ <当社各店舗> 京都・大阪・兵庫・東京・千葉・…,350万円～500万円,幅広い年代の方を積極採用】飲食店での実務経験がある方★店長経験3年以上の方は優遇します！★アルバイト経験のみもOK★他業界出身の方も歓迎★,月給26万円〜28万5658円+賞与あり（業績による）+各種手当 ※経験・スキルを考慮の上決定いたします。 …,2020/11/06
株式会社エージェントゲート,【5G・AWSなど先進技術／上流（設計・構築）/長期プロジェクトなど希望に応じ配属】◆運用監視1年の経験あれば即・上流もOK★前職給与以上を保証！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,300万円～1000万円,【経験者からスキルに自信ない経験浅めまで歓迎】◆インフラエンジニア経験1年以上（運用保守のみOK）★土日祝休み＆残業基本ナシで生活安定！,経験者／月給35万円〜 経験浅め／月給23万円〜 PM・PL／月給45万円〜 ★前給以上を保証します！ ※経験…,2020/11/06
株式会社T-TOP,"【月収50万円以上を実現している先輩が多数！】大手電力会社や大手ホームセンターの""顔""としてサービスを提供します。※安心のフォロー体制あり！",※大阪(交野市)・兵庫(垂水)などの各拠点♪ ※U・Iターン歓迎 ※転勤なし ◆大阪府交野市 ◆兵…,,【性別・学歴不問】◆40歳以下の方(若年層の長期キャリア形成を図るため) ※異業種出身・営業未経験の先輩も多数活躍中　※40歳以下⇒全員面接！,◆完全週休2日制／月給25万円〜 ◆隔週休2日制／月給28万円〜 ＜モデル月収例＞ 月収50万円／20代／入…,2020/11/20
株式会社エージェントゲート,【案件の強制なし！やりたい言語を最優先！大手プライムあり】◆スマホアプリ・業務システム・ゲームなどのプログラミング★技術力を高め収入UPOK！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,300万円～1000万円,【平均年齢28歳／第二新卒歓迎】◆PGの実務経験（半年以上）★担当営業が小さな問題も解決し伴走！★PG経験2年目で入社し月給10万円アップの実例あり,経験者／月給30万円〜 経験浅め／月給23万円〜 ※経験値の高い方は月給40万円〜でお迎えします！ ★前給…,2020/11/06
日本eリモデル株式会社,未経験から成長できるエクステリアプランナー。エクステリア（住まいの外側）を中心にインテリア等、住まい全体のプランニングをお任せします。,■宇都宮支店：栃木県宇都宮市 ■高崎支店：群馬県高崎市 ■埼玉支店 ：埼玉県さいたま市大宮区 ■千…,300万円～700万円,■高卒以上　■年齢不問　■エコや環境について関心をお持ちの方（知識は入社後に身につけられます）　■自分の夢や目標を絶対に実現したい方,[1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…,2020/11/16
株式会社テイクス,【キャリアを活かせる、伸ばせる仕事を！】開発・インフラ分野で経験を活かせる仕事をお任せします。★在宅・リモート案件あり★,東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 ※働きやす…,300万円～650万円,【技術スキルを活かした転職を実現したい方に最適】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方※高卒以上,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※知識・スキル・経験年数等最大限考慮し…,2020/11/03
株式会社みらい住宅開発紀行,お客様の住まいに関する課題や問題点をお聞きし、最適なリフォームプランを一緒に考え、ご提案します。,◎本人が希望する以外の転勤はありません ◎U・Iターン歓迎！希望を考慮の上、勤務地を決定します ◎…,300万円～850万円,高卒以上※未経験・第二新卒の方歓迎します！　自分の夢や目標を絶対に実現させたい方大歓迎！,[1]月給20万500円〜24万4000円※勤務地により異なる （固定残業代5万5500円〜6万7500円／53h含。超過時は…,2020/11/16
株式会社テイクス,【一人ひとりに最適なステージをご用意！】開発・インフラ分野で希望のプロジェクトをお任せします。★在宅・リモート案件あり★,東京、神奈川、埼玉、千葉のプロジェクト先 ※本人希望による転勤あり。 ※勤務地は最大限考慮。 【池…,300万円～650万円,【最新技術を習得したい、スキルアップを実現したい方に最適な環境】年数を問わずシステム開発やインフラ分野での実務経験をお持ちの方(年数不問),◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※知識・スキル・経験年数等最大限考慮し…,2020/11/03
日研トータルソーシング株式会社,《今後も需要が見込めるポジション》★ロボット・機械の修理やメンテナンスなどの業務をお任せします。 ★まずは同期と一緒の合同研修からスタート！,*◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆U・Iターン歓迎！希望の勤務地を考慮しま…,400万円～600万円,《履歴書の内容は一切気にしません》★学歴・経験・転職回数・年齢など不問 ★社会人デビュー、正社員デビュー、手に職つけたい方、大歓迎！,月給22万円〜41万円＋残業手当（100％支給）＋賞与2回 【月収例：入社1年目】 月収30万円(月給23万円+…,2020/11/24
UTエイム株式会社,【憧れの一人暮らしデビューが叶う！社宅全額補助や高収入の案件あり】各種ものづくり工場にて、資材の発注確認、納品チェック等の管理業務を担当。,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆社員寮あり(社宅費無料あり※一部住宅…,300万円～500万円,「安定した職場で働きたい」「一人暮らしデビューしたい！」「高収入を目指したい」「ちゃんと休みたい」そんな方はぜひご応募を！★学歴・経験不問,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/17
UTコンストラクション株式会社,<11月入社歓迎/即入社可能・男性多数活躍中!>研修からスタート！駅ビルや商業施設などの点検・保守等、管理業務 ★殆どが日勤のお仕事★年休120日以上,【希望勤務地考慮、ご希望考慮します】◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡…,300万円～650万円,【未経験/第二新卒歓迎】土日祝休みでカレンダー通りに働ける！ほぼ全員が未経験入社★社宅6割補助！転居を伴う転職の場合、引越費用は全額会社負担！,月給23万円〜＋各種手当【前職給与保証】 ★未経験入社者の平均月収は29.2万円！ ※別途、残業手当（100…,2020/11/10
T.U.C.GROUP 合同募集,【ノルマなし！還元率の高いインセンティブ制度あり】お問い合わせ・ご来店いただいたお客様への提案営業をお任せ。★100％反響営業★,東京、千葉、神奈川、埼玉いずれかの店舗に配属 希望を考慮の上、決定します 【株式会社ティーユーシー…,350万円～600万円,【意欲重視採用】◆学歴・経験・知識・転職回数一切不問！第二新卒歓迎◇「ノルマなし」「売れる環境」で未経験から安心デビューできます！,月給20万円以上＋歩合 ※経験・能力を考慮の上、当社規定に基づき決定いたします。 ※上記には固定残業…,2020/11/03
アクサス株式会社,【チーム単位のプロジェクト参画で安心！】サーバーの設計・構築案件を担うインフラエンジニアとして、スキル＆キャリアUPを目指せます。,【転勤なし/希望エリア/Iターン/Uターンで勤務可能】 東京・愛知・大阪・北海道・広島・香川。 拠…,420万円～750万円,【経験者も未経験者もお待ちしています！】※働き方を改善させたい方、スキルを更に磨きたい方、長く腰を据えてキャリアを築きたい方、ともに歓迎！,月給35万円〜＋諸手当（育児サポート手当、交通費全額支給、役職手当、特別作業手当) ※固定残業代（20時…,2020/11/16
株式会社テイクス,【経験を活かし、自分のペースで着実に成長できる！】開発・インフラ分野で希望のプロジェクトをお任せします。★在宅・リモート案件あり★,東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 【東京本社…,300万円～650万円,【経験の浅い方から、豊富な経験をお持ちの方まで大募集！】年数を問わずシステム開発やインフラ分野での実務経験(年数不問)をお持ちの方※学歴不問,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 ※異業種での経験を含めて、知識・スキル…,2020/11/19
株式会社ヨドバシカメラ,これまで物流管理と配送・設置は別々に担当してきましたが、本ポジションでは、すべてを網羅する【物流のプロフェッショナル】として育成します。,◆物流の拠点「ヨドバシカメラ アッセンブリーセンター川崎」「ヨドバシカメラ 六甲アッセンブリーセン…,300万円～500万円,【未経験・第二新卒歓迎】■40歳未満 ■高卒以上 ★退職金制度、宿泊施設の利用など福利厚生も充実 ～転職回数やブランクは一切問いません～,月給20万5000円以上＋職務手当＋超過勤務手当 ＜月収モデル＞ 大学院大学卒（月給20万5000円+諸手当／20…,2020/11/12
株式会社エー・エス・エル,《AWS/コンテナ/Infrastructure as Code等の注目トレンド案件多数！》◆スキルや志向に応じて開発系orインフラ系の案件で活躍！※自社内開発あり,東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ※希望、お住まいを考慮の上、決定します。 ※転…,400万円～800万円,《複数名採用予定！》◎学歴不問 ◎ITエンジニアとしての何らかの実務経験（システム・インフラ不問）★転職回数やブランク等も不問です！,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,2020/10/30
大東建託株式会社,土地のオーナー様に有効活用の手段としてアパート・マンションなどの賃貸経営をご提案！,【募集支店一覧】 名古屋中央、名古屋、名古屋北、名古屋西、名古屋港、春日井、小牧、一宮、多治見、岐…,300万円～1500万円,★30代・40代・50代活躍中！★歩合給でガッツリ稼ぎたい方大歓迎！◆高卒以上！◆営業スキルを向上させ、営業のプロフェッショナルになりたい！,"■月給：21万6,000円 + 歩合給 ※一律手当を含む ※残業代は実稼働分を別途支給！ ※歩合給：実績（契約…",2020/10/30
関西不動産販売株式会社,【完全反響営業！配属店舗でのバックアップなど“売れる仕組み”あり！】マイホームの売却や購入を検討されるお客様の要望に沿った提案を行います。,高槻市・豊中市・箕面市にある、本社および各店舗が勤務地となります。 ☆配属先は希望を考慮の上、 決…,,【未経験・第二新卒歓迎／不動産業界の経験はなくてもOK！】◆学歴・性別不問 ◆要普免（AT限定可）◇管理職候補となる業界経験者も大歓迎です！,■月給25万円以上+ 各種手当 + 賞与年2回 ■管理職：月給35万円以上+ 各種手当 + 賞与年2回 ［月収例］…,2020/10/30
株式会社ケイディアイ,【段階的に業務を学べる環境！】不動産事業用地・区画マンションの仕入～企画～販売と一貫して携わる「仕入企画営業」です。◎万全のサポートあり！,≪銀座本社勤務・駅近で、雨の日でもスムーズに通勤できます≫ ◇本社／東京都中央区銀座2-7-18…,400万円～800万円,【未経験者・経験者どちらも歓迎！】◆学歴不問◆用地仕入や不動産業界の実務経験はもちろん、営業・販売など人と触れ合う仕事の経験も活かせます！,月給25万円〜40万円＋インセンティブ＋賞与 ※経験・能力を考慮し、当社規定により優遇します ※試用期間…,2020/10/30
東建コーポレーション株式会社,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,◎高卒以上◎未経験・異業種からの転職歓迎します！今よりもっと安定した環境で収入を上げていきたい方,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/11/06
株式会社PGSホーム,【“月給40万円保証＋歩合スタート(規定あり)”実際に入社2ヶ月で80万円以上を手にする先輩も活躍中】◎住宅ペイントや太陽光発電を提案します。,《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,400万円～1000万円,【経験は関係なし！イチから稼げる営業へと成長できるチャンスがここに！】◎学歴・年齢一切不問！意欲がある方はぜひチャレンジしてください！,月給25万円〜50万円＋高額歩合給(本数達成賞＋オーダー手当) ★月給40万円スタート(※)！さらに今だけ！…,2020/11/19
東京・日本交通株式会社,業界大手「日本交通グループ」の乗務員として自分らしく働いてください【稼げる・休める仕組みを一から十まで徹底的に整備しました】,[難波]・[神戸] いずれかで勤務いただきます ※転勤なし ※ご希望を考慮のうえ配属 ＜勤務地＞…,350万円～650万円,"肩ひじはらず、ゆったりと働きたい方│生活と収入の調和をはかりたい方│要普通免許（取得後3年以上）【未経験入社90%】【出勤日は多くて""月に13日""】",［難波］月給16万2000円＋歩合給＋賞与（年2回） ［神戸］月給15万1200円＋歩合給＋賞与（年2回） ※乗務…,2020/10/30
株式会社PGSホーム,【興味のあるお客様を探す仕事】◎希望・適性を考慮して外勤または内勤営業をお任せします。今なら入社祝金＋半年間の営業成績で最大138万円を支給！,《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,400万円～1000万円,【学歴や年齢、これまでの経験は一切関係なし！】◎イチから頑張りたい、とにかく稼ぎたい、ここで心機一転スタートしたい方は、ぜひご応募を！,月給25万円〜50万円＋報奨金(本数達成賞＋オーダー手当) ★今だけ！入社祝金18万円＋半年間の業績に応じ…,2020/11/19
ソリットコンサルティング株式会社,資産運用をお考えのお客様に向けて、投資用物件をご提案して頂きます。★マンツーマン研修あり！不動産の知識が無い方も安心してスタート出来ます！,【本社】 東京都目黒区下目黒2-2-16　第6千陽ビル5Ｆ ★転勤なし ★直行直帰OK,350万円～1000万円,【未経験・第二新卒歓迎／31歳以下】■学歴不問■要普免(AT可)★未経験から高収入を目指したい方★人生を好転させたい方《育成前提／意欲重視採用》,月給30万円以上＋インセンティブ ★成約1件あたり「＋30万〜120万円」 ※月給額は能力を考慮の上、決定…,2020/10/30
株式会社松江電気商会,【じっくり丁寧に教えます！】戸建や公共施設、工場などの電気工事をお任せします ◆転勤のない「地域密着型」の活躍ができます！,【転勤なし】 ◆本社／福井県坂井市丸岡町一本田中38-1-1 ※マイカー通勤OK,,【未経験歓迎！要普免（AT可）・性別／学歴不問】※経験者、もしくは1・2種電気工事士の資格をお持ちの方は給与面で優遇します！,◆月給20万円〜30万円 ◆月給23万円〜35万円／電気工事士1種をお持ちの方 ※これまでの経験・能力等を十…,2020/10/30
株式会社レインオンファニー,【会社都合・営業都合の勝手なアサイン一切なし】常時1000件以上のプロジェクトの中から、あなたの希望や適性に応じて開発をお任せします。,★転勤なし［首都圏（東京、神奈川、千葉）、関西（大阪、兵庫、京都）のクライアント先］ ※希望を考慮…,500万円～1100万円,【経験者大歓迎】システム開発orインフラ構築の経験が1年以上ある方 ◇収入UP・スキルUPを目指したい方 ☆WEB面接1回で内定可能！,【前給＋年70万円保証】月給30万円〜 ＋ 各種手当 ■還元率80％！（在籍年数に応じて還元率はさらにUPし…,2020/10/30
JAGフィールド株式会社,【定着率は９割！】規模もジャンルも様々な建設プロジェクトで施工管理として活躍を！「生涯のキャリア」を考えた業務内容のシフトも可能です！,全国47都道府県のプロジェクト先、またはオフィス ＜事業拠点＞ ◆東北支店 仙台市青葉区花京院1-…,450万円～620万円,【40代を超え、生涯のキャリアを考えた転職を歓迎！】※学歴・転職回数・前職の雇用形態すべて不問！◆ジャンル問わず、何らかの施工管理経験者,月給37万5000円以上 ※経験・年齢・能力などを考慮して、給与額を決定します。 ※上記金額は40時間分の固…,2020/11/02
株式会社ヒカリッチアソシエイツ,【店舗運営全般をお任せします】◆未経験者も安心の教育体制！★店長へのスピーディーなキャリアUPや人事・営業・メニュー開発など多彩なキャリアパス,東京・神奈川で勤務 ☆引越し補助あり！U・Iターンや上京したい方も歓迎！ ☆勤務地は本人の希望を考…,350万円～600万円,【経験・職歴・学歴一切不問！第二新卒歓迎！】◆社会人経験をお持ちの方（業界・年数・分野不問）◆異業種の接客経験・店長経験者も歓迎！,◆店長候補としてお迎えする場合 月給30万円以上 ＋ 残業代別途支給 ◆店長としてお迎えする場合 月給35…,2020/10/27
ECO信頼サービス株式会社,★TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,九州・沖縄・大阪・東京・千葉・北海道の各支店 転勤なし！勤務地の希望を考慮。 福岡本社／福岡県福岡…,350万円～4000万円,▼社会人デビューも、初めての営業職へのチャレンジもOK！▼学歴不問！意欲や人柄を重視した採用です。,月給27万〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年6回）が支給されます。 ※固定残業代含…,2020/11/19
ECO信頼サービス株式会社,★全国TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,沖縄支店／沖縄県那覇市字大道202 ※U・Iターン歓迎,350万円～4000万円,【 沖縄で稼ぎたい仲間を募集 】▼社会人デビューも、初めての営業職へのチャレンジもOK！▼学歴不問！意欲や人柄を重視した採用です,月給27万円〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年6回）が支給されます。 ※固定残業代…,2020/11/19
クオリア・コンサルティング株式会社,【飛び込み・ノルマなし】ビジネスをおこなう事業者であれば、規模や業界を問わずに利用できる、家賃をはじめとした「経費」の削減サービスを提案,《新宿本社で積極採用！》 《転勤無し！》 【本部事務所】 東京都新宿区西新宿6-15-1 セントラ…,350万円～1000万円,【未経験者、歓迎！】※第二新卒OK！※キャリアを変えたい異業種出身・営業未経験者も歓迎！◆学歴・経験・性別不問☆20～30代メンバーが多数活躍中！,月給：25万円〜 ★さらに年4回の賞与あり！ ★社員の平均年収：700万円以上 （試用期間3ヵ月、月給22万円…,2020/10/28
ECO信頼サービス株式会社,★全国TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,熊本支店／熊本県八代市本野町2570-1 ※U・Iターン歓迎,350万円～4000万円,【 熊本で稼ぎたい仲間を募集 】▼社会人デビューも、初めての営業職へのチャレンジもOK！▼学歴不問！意欲や人柄を重視した採用です,月給27万〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年6回）が支給されます。 ※固定残業代含…,2020/11/19
株式会社SORI,【広島市周辺のみ・毎日帰れる・残業ほぼナシ！】道路舗装や土木工事の管理業務、重機のオペレーション操作、重機回送ドライバーいずれかをお任せ。,《 車通勤OK／無料駐車場有 》 広島県広島市安佐南区八木町343番地 ★UIターン歓迎！ ★転勤…,400万円～1000万円,【積極採用中！経験の浅い方も歓迎】◎学歴・年齢不問 ◆要普免(AT限定不可) ◆舗装／土木工事の経験者。または中型・大型免許をお持ちの方,月給30万円 〜 100万円＋諸手当 ※経験・能力を考慮のうえ優遇あり 【月収例】 ◎月収52万円／34歳 ◎…,2020/10/23
朝日ソーラー株式会社,"【 太陽熱温水器メーカーの先駆け的存在！ 】自社商品の提案業務をお任せします ※丁寧な研修で2,3ヶ月後にはほぼ全員が月10台前後売れるまでに成長！",【9月に宮崎支店を開設しました！】 東京、大阪、愛知、福岡、広島、宮城、群馬、愛媛、熊本、大分、長…,450万円～700万円,【未経験者／高収入を目指したい方歓迎！】◎学歴・年齢不問！異業種出身者も大勢活躍中！ゼロからでも安心してご応募ください。,■月給29万円以上+歩合給(販売台数・商品による)＋報奨金＋諸手当 ※3ヶ月間の試用期間あり【月給34万円…,2020/11/12
日本交通株式会社,【未経験入社9割以上！】政治家や芸能人などの送迎業務★入社後5ヵ月間の手厚い研修あり！《日勤のみ／運転時間：1日平均4時間／月7~10日休み》,【銀座営業所】 東京都中央区銀座1-11-3 ★転勤なし 〈アクセス〉 都営浅草線「宝町駅」徒歩1…,400万円～500万円,【学歴・ブランク不問】■普免(AT可)取得後3年以上の方★ドライバーとしての実務経験は問いません！車が好き、話すことが好きな方にはピッタリです♪,【試用期間中】 月給25万円 + 交通費等 ★試用期間3ヶ月間は上記を”最低”保証！ ※法定研修3週間は日給…,2020/10/23
旭電業株式会社,【大型案件多数！】大規模マンションや商業施設など様々な分野の電気設備施工管理◆充実の研修で未経験でも安心◆資格取得支援制度あり,【東京・大阪・岡山いずれかの拠点に配属となります】 ※ご希望を考慮。 ※U・Iターン歓迎！ ＜東京…,350万円～800万円,【未経験・第二新卒歓迎／学歴不問】応募条件は《普通自動車免許（AT可）》のみ！◎経験、専門知識は一切不問です！※経験がある方は優遇します,月給20万円以上＋各種手当＋賞与年2回＋臨時賞与年1〜2回 ※前職の年収・年齢・能力等を考慮して決定しま…,2020/10/23
アドバンストテクノロジー株式会社,【 残業ほぼナシ！毎日定時退社もOK 】NTT東日本・西日本のサービス・商材をニーズに合わせてご提案。既定のアポイントに応じてお客様を訪問します。,東京都港区／山形市／山形県酒田市／大阪市／東大阪市／京都市／岡山市／広島市／高松市 ※本人希望以外…,300万円～800万円,【 学歴不問！未経験者～経験者まで幅広く募集 】★全社員の70％以上が20～30代！活気のある職場です　※要普通免許（AT限定可）,【東京】 月給 27万円〜50万円(一律都市手当含む)＋賞与＋諸手当 【その他】 月給 23万円〜50万円(一律…,2020/11/06
株式会社リンクスタッフグループ,【頑張りを正当に評価】人手不足の企業の課題解決や現場で働くスタッフの手配を担当◎営業はテレアポが中心◎毎月稼げるインセンティブ,【交通費全額支給・転勤なし】希望を考慮して配属 ■本社/東京都新宿区西新宿6-12-4 コイトビル…,,【未経験・第二新卒・正社員デビュー歓迎】★負けん気・やる気、仕事に対する考え方や姿勢などの人物重視の採用◆学歴・経験不問◆基本的なPCスキル,■月給25万円〜40万円 + インセンティブ ＋ 賞与年2回 ※スキル・経験を考慮して決定いたします ※試用期…,2020/11/13
株式会社美意識グループ合同募集,【研修＆サポート体制◎】女性専用エステサロン「KAIZENBODY」にて、カウンセリングや施術を担当　★技術者・講師・独立開業など、キャリアも多彩！,転勤なし★全国で募集(希望エリアで勤務)★神奈川積極採用中！ KAIZENBODY中目黒店 東京都…,300万円～500万円,【学歴不問／未経験歓迎】★年齢不問！20～60代まで幅広く活躍中 ★ブランクOK！結婚や育児、介護などで、一度はキャリアを諦めた人もぜひご応募を！,月給25万円以上 ※一律美容手当・一律地域手当を含みます。 ※その他役職手当・通勤手当など別途支給い…,2020/11/13
大東建託株式会社,【平均年収1021万円！】土地オーナー様に対して、資産運用につながる賃貸経営をご提案。長くお客様に寄り添い、高収入を目指せます！,《横須賀、横浜南、横浜西、大和、藤沢、平塚、小田原エリアで積極採用！》 《社用車での通勤も可能！》…,360万円～1000万円,《営業・業界経験不問》★9割以上が未経験スタート！◆高卒以上◆59歳以下の方(定年が60歳のため)◆要普免(AT限定可)★完全週休2日で年間休日125日,"月給 22万5,000円 ＋ 残業手当 ＋ インセンティブ ＋ 賞与年2回※個人の実績に応じて支給 ※月給には一律…",2020/10/26
株式会社エージェントゲート,【☆ウイルス対策で時差出勤可】☆配属先は大手企業中心☆データ入力や電話対応などをお任せ！Word・Excelなど、PCの基礎から学べる研修をご用意♪,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原）などの各クライアント先 【配属…,250万円～600万円,【☆第二新卒歓迎／学歴不問／人柄重視☆】◎サポート職で活躍したい方　※「今よりも働く環境をよくしたい」という経験者にも選ばれています！,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 30時間分／4万円以上 ※試用期間と…,2020/10/23
フォーシーズンズ株式会社,【各メーカーの研修あり！電気自動車など最新技術にも触れられる◎】輸入車の正規ディーラーで、お客様のカーライフをトータルにサポートしましょう！,東京都、大阪府、和歌山県の各店舗 ※転居を伴う転勤はありません。 ※勤務地は希望を考慮致します。…,350万円～700万円,【未経験・第二新卒者歓迎／車の知識は入社後でもOK！】◆高卒以上 ◆要普通免許 ◆トップセールスや拠点長など、多くの社員が未経験スタートです◎,【ディーラーでの営業経験者】月給25万円〜+インセンティブ 【未経験者】月給22万円〜+インセンティブ …,2020/11/04
株式会社へいせい,【売り込み＆ノルマなし】モデルハウスへ来店されたお客様への反響営業 ※住宅の提案、成約後のお打ち合わせなど、家づくりの初期工程を主導します。,＜福岡都市部まで地下鉄１本で行ける便利な街＞ ＜転勤なし＞ 【本社】福岡県糸島市前原西5-1-31…,,【未経験歓迎！】『海が好き。アウトドアが好き。糸島が好き』な方は歓迎！もちろんインドア派な方も♪◎学歴不問◎要普通免許（AT限定可）,"月給200,000円〜250,000円 + 諸手当 ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、優…",2020/10/20
株式会社ネオート,《自分のペースで働ける！》1日3~4件程お客様を訪問し、査定・買取を行います。アポ取得の専任がいるのでテレアポ・飛び込みをすることはありません◎,＜町田本店/宇都宮営業所/名古屋営業所＞の いずれかでの勤務となります。 《★勤務地は希望を考慮》…,400万円～600万円,《全員が未経験START！20代男性スタッフ活躍中》◎学歴・経験一切不問 ◎第二新卒歓迎 ／入社後に「生活水準」が急上昇している社員が多数！,月給30万円〜+インセンティブ 入社後5ヶ月目以降は (1)月給40万円(インセンティブなし) (2)月給30〜40万…,2020/10/20
株式会社そら,【あなたの”夢”を応援！ぜひ目標を教えてください！】◆ストレッチ専門店でトレーナーとして施術をお任せします◆手厚い研修あり！未経験でも安心♪,【原則転勤無し】 東京(23区)、千葉、神奈川(横浜・川崎）、大阪にあるいずれかの店舗での勤務。す…,300万円～550万円,【未経験・第二新卒歓迎】◆スポーツ好きの20代が活躍中！◆営業や接客の経験をお持ちの方を歓迎します！目標に向かって努力する先輩が多数活躍中♪,"月給 226,000円〜290,000円 +各種手当 ※昇給年4回！アナタの頑張りを随時評価します♪ ※月給には固定…",2020/10/20
フューチャーコミット合同会社,【希望・スキルに合った案件を探してアサイン】上流工程はもちろん幅広い案件あり★不透明感のない待遇◎プライム案件に固執せず希望に合う案件を提案,＼在宅勤務案件が7割！／ ★好きなエリアで活躍！ ・転勤なし ★あなたの希望勤務地のプロジェクトで…,360万円～1000万円,【開発・インフラ構築経験3年以上(言語不問)】収入・スキルUPを目指したい・ フリーランスのような働き方がしたい方は、その希望が叶えられます！,【月給30万円〜】 ★前職給与は最大限考慮します。 ★経験・スキル・年齢等を加味した上で、優遇します。…,2020/11/11
株式会社ランディックス,【100％反響 & テレアポ・飛び込みなし】◆世田谷、目黒、渋谷などの人気エリアに特化した高級不動産仲介★ネット集客にも注力★チーム制の営業,桜新町、自由が丘、恵比寿の各センターでの勤務。 ※勤務地は希望を考慮します。 ＊--アクセス◎各勤…,300万円～800万円,【第二新卒歓迎・未経験OK】20~30代前半の男女活躍中◆要普免（AT限定可）★2週に一度の研修＆チーム制で安心！,月給 25万円以上＋（歩合給）＋（賞与） ※経験・スキルを考慮の上、決定します。 ※みなし残業手当42時…,2020/10/20
株式会社ビッグモーター,【移動範囲は1～2時間の短距離中心！】配送ドライバーとして、ビッグモーターで修理・整備するクルマの引き取り／納車などをお任せします。,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,300万円～700万円,【未経験・第二新卒歓迎／学歴不問！】 ＼ブランク・転職回数も一切問いません／ ■要普通免許（AT限定可）　☆夜勤なし ☆月8～10日休み,月給27万8600円〜40万円＋諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手当などの一律手…,2020/11/06
