会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
タツミ電気工業株式会社,電気工事（配線、電源設置など）を担当。 工場・店舗などの工事をチームで行います。未経験者は一人前の技術者になるまで丁寧に指導します！,〈マイカー通勤可・転勤なし〉 静岡県浜松市東区笠井町28-7 仕事エリアは静岡県西部がメイン。浜松…,370万円～420万円,〈未経験者歓迎！〉【条件：普通免許(AT限定可) 】入社後に電気工事の技術を身に付け、資格取得を目指したい方を応援します！,月給：21万円〜27万円 ※経験、能力、年齢などを考慮のうえ決定します。 ※試用期間6ヶ月あり（待遇に変…,2020/11/24
平和自動車交通株式会社,配車アプリ対応タクシーに乗務します。全車自動日報、アプリ搭載で安心乗務。研修期間（約30日前後）もしっかりあり、自信を持ってデビューできる！,東京23区［江戸川］／人気エリア［横浜］での募集！★☆《マイカー通勤OK》 ■江戸川営業所：東京都…,300万円～700万円,■□未経験大歓迎！□■普通自動車運転免許をお持ちで、免許取得後3年以上経過している方であれば【応募者全員面接致します◎】若手・女性も活躍中！,"月給187,550円+歩合給 賞与年３回★ ※《未経験者・乗務開始後３ヶ月は月給35万円保障！！》（月12出番…",2020/11/24
株式会社建築資料研究社,希望や適性に応じて、受講生のフォローもしくは既存顧客へのシステムの営業をお任せします。★十分な研修があり、未経験からでもスタート可能！,＼転勤なし／　3拠点いずれかでの勤務になります。 ※ご希望を考慮して配属いたします。 【岡山校】…,350万円～550万円,【必須応募資格無し！多くの可能性に期待しています】◇人と接するのが好きな方◇地道なコミュニケーションをとるのが得意な方 ★年収500万～も可能！,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…",2020/11/24
全電協株式会社,◆マンションやオフィスビルなどの高圧受変電設備(キュービクル)の保安管理業務をお任せします ★充実した研修で未経験の方も安心スタート！,下記事業所のいずれかへと配属し、エリア内の現場での勤務となります。 ※ご希望やお住いの地を考慮して…,320万円～500万円,【年齢不問！未経験・経験者のどちらも募集します】◎第3種電気主任技術者以上の有資格者 ◎普通自動車免許 ◎基本的PCスキル ◎実務経験者は優遇！,【経験者】 月給28万円〜 （但し、弊社賃金規定による） 【未経験者】 月給23万円〜 ※いずれも試用期…,2020/11/24
株式会社YMネット,＜定着率抜群♪働きやすさから社員の紹介で入社した人も！＞2tもしくは４tでの中長距離配送。日祝休み＆無理の無い配車が特徴,三重県三重郡菰野町竹成1231-1 ◎マイカー通勤可 ◎転勤なし ▼近隣からのアクセス 三重県四日…,,＼ドライバー経験ゼロから転職した先輩多数！／◎準中型免許必須(中型・大型免許歓迎！)◎学歴や経験・ブランクも不問！女性ドライバーも活躍中です！,2t：月給15万円〜25万円 4t：月給20万円〜30万円 ★頑張りに応じて収入が増える歩合制を導入しています。…,2020/11/24
株式会社賀陽技研,【 安心の高収入で、家族がいても安心！ 】受発注業務を中心とした事務作業をお任せします。 ★有休消化実績10日/年！しっかりリフレッシュ可能！,【 転勤なし／UIターン歓迎 】 岡山県加賀郡吉備中央町黒山12 ★岡山市、総社市、高梁市から通勤…,,【 子育てなどでブランクがある方も歓迎！ 】◎経験不問／女性スタッフが活躍しています！　★経理経験や金融機関での経験がある方は歓迎！,月給　18万円〜23万円 ＋ 通勤・住宅手当など ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間…,2020/11/24
株式会社APC,【リニューアルオープンしたばかりの新オフィスで活躍】リサイクルのご案内のお電話をお任せします。,★駅徒チカ便利な好立地！ ★転勤なし！ 【愛媛】本社 愛媛県松山市千舟町5丁目2-1　3階 ⇒伊予…,300万円～800万円,★学歴・経験・転職回数・空白期間など一切不問 ★「初めての社会人」という方も大歓迎！ ★20～30代が活躍中,月給18万円〜50万円＋インセンティブ ※経験・能力により優遇します。 【月収例】 月収183万円（入社1…,2020/11/24
株式会社酒井建設,【お客様にとってかけがえのない＜お家づくりのパートナー＞】注文住宅におけるご相談対応やプランニング提案などを中心にお任せします。,＼転勤なし・U・Iターン歓迎 バイク・マイカー通勤OK／ 【本社】高知県高知市薊野北町1丁目8番4…,,【未経験者も経験者も大歓迎／第二新卒歓迎！／研修やセミナーなど学びの場も豊富】◎要普通自動車免許　★不動産業界経験者の方は優遇いたします！,"【月給（基本給）】 180,000円〜300,000円 ＋ 諸手当 ＋ インセンティブ ※経験・能力・年齢などを考慮…",2020/11/24
株式会社エコテックシステム,【関係構築＝押し売りは一切しません】住まいに関わる太陽光や蓄電池等の新エネルギー機器を通じて、お客様の暮らしをより良くする提案をお任せします,＼ 福岡勤務★転勤なし ／ ■福岡県筑紫野市杉塚6丁目11-24 ◆マイカー通勤OK（社用車でも通…,,【未経験からでもしっかり教育します】◎高卒以上◎要普免（AT限定可）◎異業種経験も活かせます ☆蓄電池初受注祝い金5万円支給！,月給25万円〜40万円 + インセンティブ ★未経験入社でも25万円スタート！ ★あなたの頑張りは、きちん…,2020/11/20
株式会社前原土建,★土木作業員としてイチから丁寧に教育！★どんな工事もNOと言わない当社で、レベルの高い経験を積もう！将来は施工管理へキャリアUPし高収入をGET！,【転勤なし/マイカー通勤OK/家賃補助相談可】 栃木県下野市上大領30-2 ★現場によっては直行直…,340万円～420万円,【未経験歓迎】◆35歳までの方(※)◆要普免◆経験がない方でも構いません→むしろ「これから成長したい・資格を取りたい！」というあなたを歓迎します,【月給】24万円〜30万円 ※前職での経験・能力・収入を考慮し決定します。 　上記はあくまで入社時の最低…,2020/11/20
