会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
大王製紙株式会社,【営業経験者に選ばれる商品力＆働きやすい環境が魅力】量販店（ドラッグストア・スーパー）や医療・介護施設への提案営業をお任せします。,東京・名古屋・大阪・福岡で大募集！ ※全国転勤あり。上記は最初の勤務地です。 ★全国に勤務地がある…,400万円～600万円,応募条件●営業経験をお持ちの方（業種・年数不問）※第二新卒の方は未経験でも可 ●運転免許（AT限定可）●大卒以上 ★同業界からの応募も歓迎！,【月給】25万円以上 ※前職や経験、スキルを考慮の上、優遇いたします。 ※試用期間6ヵ月（待遇変更なし）,2020/11/17
株式会社アボアエンジニアリング,【音響・映像システムやセキュリティ機器の取付をお任せします！】※OJT研修をベースにイチからお教えします。 ※担当する現場は広島県内が90％,〈 転勤なし／UIターン歓迎 〉 広島県広島市西区草津東1-5-12 (広島電鉄「草津」駅より徒歩…,280万円～450万円,《未経験・第二新卒歓迎／人柄や意欲を重視した”育成枠”採用です！》■要普免(AT可) ※電気工事士をお持ちの方は歓迎します！,■月給 22万円〜27万円 + 諸手当 ※経験・年齢を考慮の上、優遇いたします。 ※試用期間最大6カ月（月…,2020/10/30
キャリアアセットマネジ株式会社,【年に数本の新サービスをリリース！新規プロジェクトを担当】★自社Webサービスの企画・設計・開発等をお任せ★書籍購入制度・退職金など福利厚生◎,★転勤なし ★U・Iターン歓迎 ★東京（新宿）または長野での勤務 ※勤務地はご希望に応じます ■M…,350万円～700万円,【プライベート重視派OK！42歳責任者の元、20～30代が活躍中】◆ITエンジニアの経験（Web系システム開発またはサーバ設計・構築）※経験浅い方も歓迎,【SEクラス】月給30万5000円〜＋残業代全額＋賞与年3回 ※昨年度実績。6ヶ月分の社員もいます。業績や成…,2020/10/23
株式会社分析屋,【閲覧者や消費者の行動を分析し、企業の”未来”に役立つ情報を提供！】多種多様なデータを目的に合わせて集計・分析し、施策提言までを担当します,本社（神奈川県藤沢市）、または東京都内近郊のプロジェクト先 【本社】 神奈川県藤沢市藤沢484-1…,300万円～600万円,【現時点でのスキルよりも”のびしろ”を重視！】「データ分析に関する知識をもっと深めたい」「スキルアップを目指したい」そんな意欲を大歓迎★,月給18万円以上+インセンティブ（参画プロジェクトの単価に応じて手当を毎月支給）＋各種手当 ※経験・能…,2020/10/16
NDS株式会社,【 社員のほぼ全員が1年で正社員に登用！NTT・ゼネコン・官公庁などと取引 】工事の進捗管理やお客様との打合せなど施工管理業務をお任せします。,【 本社(名古屋市)・東日本本部（東京）・関西支社(大阪)・愛知・静岡・岐阜・三重にあるいずれかに…,400万円～700万円,【 40代で入社した先輩も活躍中！最後の転職先として長～く働く社員が多数 】◆要普免 ◆高卒以上 ＜計画年休制度あり・有給休暇の取得も推進中＞,月給28万円〜42万円 ※経験やスキルを考慮し決定します。 【 モデル年収 】 40歳　年収600万円（手当を…,2020/10/09
三井埠頭株式会社,【社内に”港”を持つ！スケールの大きい仕事】全国的にも珍しい数万トン級船舶が着岸する大型私設埠頭内で荷役(機械)設備の工事管理を担当します。,【転勤なし】 【川崎駅よりバスで20分】 【JR鶴見線「扇町」駅より徒歩3分】 ＜本社＞ 神奈川県…,,【年間休日123日/残業ほぼなし】◎機械設備工事の管理経験がある方/機械保全業務経験のある方◆港湾の大型設備を扱う誇り/プライベートも大切にできる,"月給23万5,000円以上 ※試用期間3ヵ月あり(期間中も条件変更なし) 【モデル年収例】 500万円／30代 550…",2020/12/25
ほけん選科株式会社,【FP取得を目指す・経験を活かす】お客様利益の最大化を目指し保険商材だけではなく「お金」に関する包括的なアドバイスを行います★沖縄県のお仕事★,＊沖縄県内の各店舗＊ ・ライカムイオンモール店 ・読谷座喜味イオンタウン店 ・豊見城イオンタウン店…,300万円～750万円,【学歴・資格不問】保険営業経験者の方、顧客志向を大切にできる方、成果を報酬できっちり評価されたい方、慣れ親しんだ地域で働きたい方歓迎,月給18万円〜60万円+インセンティブ ※業務に活かせる経験・能力等を考慮し 　当社に規定により決定しま…,2020/12/25
学校法人名鉄学園,まずは教習指導員資格の取得を目指しましょう！技能・学科教習を通して、お客様の運転免許取得のサポートをお任せします。◆4月入社予定の募集です。,【名古屋市緑区鳴海町または丹羽郡大口町の学校】 ＊マイカー通勤OK。駐車場完備しています！ ＊将来…,,＼未経験歓迎！35歳以下(※)の募集です／ ★第二新卒歓迎 ★要普通免許(AT限定可) ★高卒以上 ☆女性指導員も活躍中 ☆資格取得も全力でサポート！,【資格取得後】 大卒以上：月給20万円〜 短大専門卒以上：月給19万5500円〜　　 高卒以上：月給19万4500…,2020/12/25
クラリオン株式会社,高圧受電・送電設備の保安管理業務全般をお任せいたします。,■東北事業所 福島県郡山市田村町金屋字下タ川原50 【交通アクセス】 JR東北・北海道新幹線、山形…,,◆第二種、または第三種電気主任技術者試験の資格をお持ちの方,修士了／月給21万2500円 大卒 ／月給23万6500円 高専卒／月給19万0500円 ※給与額は経験・能力・年齢・前…,2020/12/25
小田島商事株式会社,【若手が多数活躍中！仲間と一緒に成長できる】鶏・豚・牛などの家畜や伴侶動物であるペットの健康を維持する動物薬を提案 ★賞与年3回(平均4か月分),《北海道限定勤務（札幌／旭川／帯広） ※勤務地は希望を考慮》 札幌営業所/北海道札幌市白石区中央二…,,【35歳以下の方 】【未経験/第二新卒歓迎/文理不問】★ルート営業だから営業初心者も取り組みやすい！ ※要普免(AT可) ※高卒以上,［大卒以上］月給：18.6万円〜 ［高卒以上］月給：15.4万円〜 ※いずれも一律手当含む ※年齢・経験等を…,2020/12/25
株式会社明和,★既存顧客中心★飛び込み＆ノルマ一切なし★既存のお客様との関係構築を行い、ご依頼をいただく製品の見積作成、納品までの管理を行います。,＜JR三河安城駅から車で約15分｜マイカー通勤OK＞ ★2020年6月に完成した新工場で働こう！…,,【未経験者※35歳以下｜要普免】★若手を育てていくための募集です！★モノづくりの世界に興味がある方なら歓迎いたします！,月給18万円~月給23万円＋各種手当 【モデル月収例】 月収19.7万円＋残業手当別途（大卒1年目の場合） ※…,2020/12/25
エムケー精工株式会社,ノルマなし！既存のお客様に各製品を提案する「営業」または国内トップクラスのシェアを誇る洗車機・整備機器の「メンテナンス」のいずれかを担当。,北海道・秋田・東京・神奈川・千葉・埼玉・群馬・ 石川・愛知・大阪・愛媛・広島・岡山・山口・福岡の各…,350万円～600万円,【第二新卒歓迎】 ■高卒以上 ■要普通自動車免許（AT限定可）★20～30代が活躍中 ★メリハリある環境でオン・オフが充実 ★人物重視の採用,"月給21万5,000円〜40万円 ＋ 諸手当 ※年齢・経験・能力を考慮し、決定します。 ※試用期間4ヶ月（待遇変…",2020/12/25
株式会社明和,【製造まはた検査をお任せします】★製造は「切削加工」「板金加工」「金属プレス金型製造」など様々な部署がある為、向いている業務が見つかるはず！,＜JR三河安城駅から車で約15分｜マイカー通勤OK＞ ★2020年6月に完成した新工場で働こう！…,,【未経験者※35歳以下｜要普免】★モノづくりが好きな方歓迎★男性はもちろん女性社員も活躍中 ※機械加工等の経験、技能検定のある方は活かせます,月給17.5万円~月給23万円＋各種手当 【モデル月収例】 月収19.7万円＋残業手当別途（大卒1年目の場合） …,2020/12/25
大和ライフネクスト株式会社,【残業月平均25時間未満】当社が管理する分譲マンションの住民に安心して快適に暮らしていただけるよう、トータルコーディネート業務をお任せします。,山形県山形市七日町1-4-23　マウンテンビル 2F ※入社後に転居を伴う異動はありません。 ＜ア…,,【学歴・経験・転職回数など一切不問】★Excel、Word、PowerPointの基本操作ができる方 ※お仕事にブランクがある方も歓迎します！,月給19.2万円〜＋賞与年2回 ＜モデル年収＞ 4段階の等級制度を設けています。 スキルや実績に応じて、…,2020/12/25
株式会社明和,【未経験から工場の司令塔に育てます！】★お客様から受注した案件に対して、材料手配~納入までの生産計画・管理を担います,＜JR三河安城駅から車で約15分｜マイカー通勤OK＞ ★2020年6月に完成した新工場で働こう！…,,【未経験者※35歳以下｜要普免】★モノづくりが好きな方歓迎★男性はもちろん女性社員も活躍中,月給18万円~月給23万円＋各種手当 【モデル月収例】 月収19.7万円＋残業手当別途（大卒1年目の場合） ※…,2020/12/25
澤田株式会社,【営業アシスタントとして社内から営業を支えてください】★年間休日120日 ★土日祝休みの週休2日制,＊各線「表参道駅」より徒歩10分 《東京営業所》東京都港区南青山6-11-8 M.A.K.フラット…,,＜20代～30代の若手メンバーが活躍中！＞【未経験／第二新卒／社会人デビューも歓迎】◎男女不問◎ファッション業界や服飾の経験がある方優遇します！,■月給21万円〜＋諸手当＋賞与年2回 ※年齢・経験・能力を考慮のうえ、決定いたします,2020/12/25
株式会社カネマツ,【 実は、田舎でも都会と変わらない休日の過ごし方ができる！？】 ◎住宅、建築物、土木いずれかの「施工管理」を担当します。 ★資格支援制度あり♪,《 転勤なし・マイカー通勤OK・UIターン歓迎 》 住宅事業部【 住宅施工管理 】 ＜ 天草市営業…,300万円～400万円,【「未経験者」から「経験者」まで幅広く募集！】 ◎男女不問 ◎要普免（AT可） ★建築・土木施工管理技士（1級 or 2級）の資格をお持ちの方は優遇！,【1】月給27万円〜 【2】月給25万円〜 【3】月給23万円〜 【4】月給20万円〜 ※年齢、経験、能力を考慮…,2020/12/25
マースクAS,当社独自の人材育成プログラムに沿って複数の研修を受講しながら、カスタマーサポートや営業、プロダクトなど、2つのポジションを経験します。,〒107-0052 東京都港区赤坂2-17-7 赤坂溜池タワー10階 ☆「赤坂駅」近くの眺めの良い…,380万円～500万円,【専門卒以上＊第二新卒積極採用！】■学校卒業後、2年以内の方■ビジネスレベルの英語力必須　☆大学院で勉強中の方、海外留学経験者も歓迎します。,◆月給20万円〜＋残業代全額支給＋（賞与年2回6ヶ月分）＋業績賞与を支給します。 ※年齢・経験・スキル…,2020/12/25
日本コーティング工業株式会社,【「ロケット」「深海探査機」「半導体部品」など豊富な実績】お客様へのニーズのヒアリングから提案～アフターフォローまで一貫してお任せします。,☆転勤なし ☆顧客先への直行直帰も可 （取引先は千葉・埼玉・東京・神奈川など） 【東京営業所】 東…,300万円～400万円,《文理・男女不問／未経験・第二新卒歓迎！》◎30歳まで（※）◎短大・専門卒以上◎普通自動車免許（AT可）★20～30代活躍中！意欲・人柄重視の採用★,月給／20万円〜25万円 ※経験、能力を考慮し、優遇いたします ※営業手当として固定残業代（10時間分／15…,2020/12/25
株式会社優計コンサルタント,【だから安心！丁寧なサポート＆チーム制】公共工事などにともなう家屋調査を行います。★1日1～2案件 ★長期休暇はそれぞれ5～10日と充実,【転勤なし/U・Iターン歓迎/マイカー通勤可】 ▼本社 岡山県岡山市南区藤田886番地1 ※通勤交…,350万円～500万円,【フレッシュな未経験の方大歓迎！】◎高卒以上 ◎要普通免許(AT限定可) ★和気あいあいとした何でも聞きやすい職場　★福利厚生でスポーツジム利用可,"月給 233,645円以上 ＋ 諸手当 ※年齢、経験、能力を考慮して優遇します。 ※上記月給額には固定残業代…",2020/12/25
いくみ特許事務所,国内・国外の特許出願から権利取得までの業務（中間処理、明細書作成など）◎実務未経験の方は丁寧にサポート！実務経験のある方は経験を活かせます！,《JR・Osaka Metro「新大阪」駅より徒歩6分》 大阪府大阪市淀川区宮原4-5-36　ON…,,【未経験者・経験者・男女ともに歓迎！】◆高専以上 ◆化学・機械分野における研究・開発・設計いずれかの経験、または左記と同等の知識を有する方,月給23万円〜40万円（一律手当含む） ※経験・能力・年齢等を考慮の上、決定します ※試用期間3ヶ月あり…,2020/12/25
茨城電設株式会社,【茨城県内のみ！転勤ナシ！】東京電力のパートナー企業として、電柱や電線の工事、保守、点検などをお任せします。人々の暮らしを守るお仕事です！,勤務地は希望を考慮して、各営業所へ配属します。 本社 茨城県水戸市千波町1916-1 日立営業所…,350万円～800万円,＜未経験歓迎！資格不問！＞高卒以上。要普免（AT限定不可）。29歳以下の方。,"月給：210,000円~ ※試用期間3ヶ月あり。期間中は月給17,4000円~の支給となります。",2020/12/25
大瀧ジャッキ株式会社,＜丁寧な育成体制あり！女性社員活躍中☆＞ 大阪支店を支える事務スタッフとして、バックオフィスの様々な業務をお任せします。,★大阪支店（兵庫県伊丹市）でご活躍いただきます ★大阪市内、神戸市内からも通勤圏内 ★転勤無し・マ…,240万円～270万円,＜業界未経験の方も歓迎！＞ ◆35歳までの方 ◆基本的なPCスキル　※総務や経理、庶務などバックオフィス経験があれば活かせます！,月給19万円以上 【短大卒：月給19.6万以上】 【大学卒：月給21万以上】 ※経験・年齢を考慮の上、当社…,2020/12/25
太平興業株式会社,《技術研修、メーカー資格研修など充実！》トラックやバスなどの車両の点検・整備・車検・修理・オイル交換などをお任せします。,★転勤少なめ／マイカー通勤OK(ガソリン代支給)★ 秋田県・新潟県・山形県の 各支店・営業所での勤…,250万円～380万円,《20～30代活躍中！異業種出身者大歓迎！》◎経験・学歴不問 ◎普通自動車免許(AT限定不可)必須　★素直さとやる気があれば大きく成長できます！,"月給165,000円〜253,500円＋残業代全額支給 ※給与の下限はあくまで未経験者の下限となります。 ※経験や…",2020/12/22
株式会社日本シューター,【入社後のサポートも◎】ベットやスロープ、車いすをはじめとした福祉用具のレンタル・販売を担当する営業として、多彩な製品が提案できる仕事です。,☆神奈川営業所積極募集中！☆ 【神奈川営業所】 神奈川県横浜市鶴見区駒岡2-7-4 （アクセス）…,390万円～450万円,【未経験／第二新卒歓迎・若手活躍中！】●大卒以上 ●基本的なPCスキルがある方 ●普通自動車運転免許をお持ちの方（AT限定可）★人物重視の採用です,月給／20.3万円〜26万円 + 各種手当 + 賞与（昨年度実績：4.25 ヶ月分） ※経験・能力・スキル等を考慮…,2020/12/22
株式会社オキチク商事,【既存のお客様先へのルート営業】畜産（牛、豚、鳥など）用のワクチン（医薬品）を中心に提案をお任せします。 ※勉強会や社内研修が豊富で安心◎,※転勤なし ※マイカー通勤OK（駐車場完備） ◆本社 沖縄県島尻郡南風原町津嘉山833-1 ◎那覇…,,【男性が活躍中/未経験からのスタートを大歓迎】◆45歳以下の方(※) ◆要普通自動車免許(AT可/MT尚歓迎) ◆学歴・業界・職種経験不問 ◎平均年齢30代,◆月給18万円〜30万円＋賞与年2回（計3ヶ月支給実績あり） ※年齢・経験・スキルを十分考慮の上、当社規…,2020/12/24
日本システム技術株式会社,【自社パッケージ開発もあり！】「業界」「ポジション」「技術」「勤務エリア」などから、あなたの希望に合わせ最適なプロジェクトをアサインします！,《転勤なし》 ＜本社＞ 東京都港区港南2-16-2（太陽生命品川ビル27階） ＜交通アクセス＞ 各…,420万円～1000万円,◆IT業界で何らかの経験をお持ちの方 「スキルアップ/チェンジしたい」「最新技術に挑戦したい」「労務環境が整った環境で働きたい」という方も是非！,"月給252,000円以上＋諸手当＋賞与年2回（2019年度実績：5.4ヶ月分） ★前職給与を考慮します！ ※あなた…",2020/12/22
株式会社エリオニクス,☆社会保険事務や給与計算、勤怠管理など総務業務を幅広くお任せします。残業少なく年間休日123日。仕事もプライベートも充実できる仕事環境です。,本社 東京都八王子市元横山町3-7-6 ※転勤なし,,≪ポジティブに仕事に取り組める方歓迎♪≫■高卒以上■PC（Word・Excel）の基本スキルをお持ちの方 ☆2021年卒見込みの方・既卒者・第二新卒歓迎☆,■月給20万円〜 ※経験・能力により優遇いたします,2020/12/22
株式会社積水化成品西部,《発泡プラスチック製の建築資材など》建築や土木工事に必要な資材を新規・既存のお客様にご提案 ☆商品知識は入社後に研修を設けています！,《原則転勤なし》福岡県福岡市中央区天神4-1-1 6F ( アクセス：地下鉄空港線『天神』から徒歩…,336万円～450万円,＼建設業界経験者優遇／ ｜◎経験/資格/学歴/男女不問 ◎要普免(AT限定可) ◎中途社員多数活躍中 ★施工管理の資格や現場経験者も大歓迎！,月給21万円〜28万円＋諸手当 【モデル年収】 年収440万円／10年目／31歳 〜経験やスキルを考慮して決定…,2020/12/22
ユウ・ティ・イー株式会社,【2021年2月に立ち上げるECサイトのスタートメンバー！自由な裁量で働ける】運営、企画戦略、データ分析などECサイトのWebディレクション業務をお任せ,★転勤なし （本社出張や業務上の出張がある場合があります） ★東京の新オフィス勤務（2021年1月…,430万円～550万円,【世の中の「あったらいいな」を0→1で形に！業界不問！20代～30代平均33歳活躍中！】社歴年齢関係なくチャレンジできる環境！新しいアイディア歓迎！,月給29万円〜（一律手当含む）＋賞与 ※経験・能力・スキル・前職給与等を考慮の上、 　当社規定により…,2020/12/23
株式会社アイエムエー,＜プラモデルをつくるみたいな仕事です＞◆5～6名のチームで機械の組立を行います。図面・手順書通りに進めればOK！未経験でも始めやすくて安心です♪,＜転勤なし／マイカー通勤OK＞ 滋賀県犬上郡豊郷町高野瀬56-1 【アクセス】 近江鉄道「豊郷」駅…,300万円～400万円,＜未経験・第二新卒歓迎／男女不問＞◆モノづくりが好きな方 ◆真面目に取り組める方 ★職場はクリーンルーム！いつでも快適な環境で働けます。,月給18万円以上＋各種手当 ＜モデル月収／25万円（各種手当含む）＞ ※経験・年齢・能力を考慮のうえ優…,2020/12/22
クラリオン株式会社,福島県郡山市の工場において、生産管理業務全般をお任せいたします。,■東北事業所 福島県郡山市田村町金屋字下タ川原50 【交通アクセス】 JR東北・北海道新幹線、山形…,,高専卒以上。工場で生産管理の経験を5年以上お持ちの方,修士了／月給21万2500円 大卒 ／月給23万6500円 高専卒／月給19万0500円 ※給与額は経験・能力・年齢・前…,2020/12/18
株式会社ポリコール,★さまざまな場面で使用されるプラスチック用着色剤の営業★充実の研修制度で未経験も安心！★質問や相談もしやすく、のびのびと働ける環境です！,★U・Iターン歓迎 【東京営業部】 東京都千代田区神田須田町2-9 宮川ビル6F,380万円～450万円,★未経験者・第二新卒歓迎★ ◎要普免(AT可)◎穏やかな社員が多く相談しやすい環境です◎営業経験のある方はスキルを活かして活躍できますよ！,"月給 21万8,000円以上 + 諸手当 ※試用期間3ヶ月あり(待遇に変更はありません) ※年齢、経験、能力を考…",2020/12/18
株式会社ソルネットシステム,【大手と直取引8割以上♪ビックプロジェクトの上流から携われます】SAPコンサルタント／インフラエンジニア／開発エンジニア※適正に応じてお任せ,【転勤なし／希望を考慮】 自社オフィス（大阪市、東京都千代田区） または、大阪市内、東京都内(23…,550万円～600万円,【経験者歓迎】いずれかに該当する方■ネットワーク/サーバー設計・構築経験■オープン系システムの設計・開発経験■SAP開発・コンサル経験者,■月給30万円以上＋賞与年3回（昨年度実績：平均3ヶ月分） ★前職給与を保証します ※上記月給には月10…,2020/12/18
作新工業株式会社,◎超高分子量ポリエチレンの専門メーカーとして、さまざまな分野で使用される自社製品『Saxin ニューライト（R）』の提案営業をお任せします。,＜東日本営業所（東京都中央区）に配属します＞ 東日本営業所/東京都中央区京橋3-14-6 斎藤ビル…,,◎未経験者・第二新卒者歓迎！◎大卒以上（文理不問）◎35歳以下の方（若年層の長期キャリア形成を図るため）◎要普通自動車運転免許（AT限定可）,月給21万円〜28万円 ※経験・年齢を考慮の上、優遇します,2020/12/18
株式会社フィックス,【20～30代活躍中】◆映像制作全般をお任せ！◆企画から撮影、編集まで、CM・映像制作の全てにオールインワンで対応している会社,★【東京本社（恵比寿駅より徒歩5分）】もしくは【関西オフィス（JR大阪駅直結）】の募集となります！…,350万円～500万円,【第二新卒歓迎！学歴不問】◆「面白い映像を作りたい」という意欲を活かせます！◆経験者優遇◆未経験でもしっかり育てるノウハウがあるのでご安心,"月給：205,000円以上 + 各種手当 ※あなたの経験やスキルは最大限考慮させていただきます。 ※上記金額に…",2020/12/18
株式会社CO2O,【太陽光発電施設の安心・安全な稼働を支える】 未経験でも安心してスタートできる“充実研修”“2人1組のチーム制”など、整った環境があります！,【転勤なし！「田町駅」より徒歩4分！】 本社／東京都港区芝浦三丁目13番1号　矢島ビル6階 ※宿泊…,320万円～600万円,【未経験・第二新卒歓迎！異業種から転職してきた若手社員も活躍中！】 あなたの将来性に期待を寄せた“人物重視の採用”を行います！,年俸300万円〜500万円＋賞与年2回＋各種手当 ※年俸の12分の1を毎月支給。（月額25万円〜41.6万円） ※…,2020/12/23
三菱電機トレーディング株式会社,三菱電機の各製品の開発や製造に必要な、電気・機械・電子部品などの調達をお任せ。研修制度なども充実★,★静岡県静岡市・和歌山県和歌山市・兵庫県尼崎市・長崎県西彼杵郡時津町のいずれかの拠点、また選考会ま…,350万円～550万円,商社・メーカーでの営業経験もしくは、何かしらの資材調達・購買・物流企画・生産管理などの実務経験をお持ちの方（年数不問）,月給21万円以上＋賞与年2回（5.7ヶ月分／2020年実績） 【初年度月収例】 月収27万円（家族手当等含む） …,2020/12/15
ジンマー・バイオメット合同会社,自社プロダクトである人工関節を活用した治療促進の提案★整形外科領域のリーディングカンパニー,＜採用強化エリア／直行直帰＞ 【東北エリア】 北海道 青森県 秋田県 岩手県 福島県 【関東・北関…,370万円～670万円,業界問わず、2年以上の営業経験をお持ちの方／医療分野の専門的な経験や知識は問いません★入社後は自社トレーニングセンターでの研修からスタート,年俸制370万〜670万円 ※経験・スキルを考慮して決定します。 ※毎月年俸の1/12を支給します。 ★別途セ…,2020/12/21
社会福祉法人未来波,【 スキルアップ支援も充実しています♪ 夜勤なし！】 多機能型の障がい福祉サービスを行う事業所にて、利用者さんの生活サポートをお願いします。,※転勤なし ※自転車・バイク通勤OK ◆障がい福祉サービス　きっと 大阪府八尾市南植松町1丁目27…,300万円～470万円,【未経験＆第二新卒歓迎！20～30代の男女が活躍中】＼ぜひ一度、見学に来ませんか？　職場見学も随時行っています！／ ※異業種からの転職者も♪,◆月給18万円〜＋賞与年2回（計3.5ヶ月分）＋年度末手当 ※年齢・経験・スキルを十分考慮の上、当社規定…,2020/12/17
エス・エスホームケア株式会社,ご利用者様の送迎や食事・入浴といった身の回りのサポート、レクレーションや活動記録の作成など、デイサービス施設でのお仕事をお任せします。,＼＼2020年4月新社屋 兼 新施設OPEN予定／／ 【住所】 神奈川県相模原市南区相模大野5丁目…,220万円～320万円,≪未経験者大歓迎!!ブランクがある方もぜひ♪≫【応募条件】◎要普免(AT限定可) ★相模原でずっと働きたい方、地域貢献できる仕事がしたい方、必見！,＜未経験者＞ 月給：19万円〜 ＜経験者＞ 月給：25万円〜 ※試用期間3ヶ月あり 　(期間中、待遇に変動…,2020/12/15
TOTO株式会社,【販売ノルマなし♪月8～11日の休みあり！】★ショールームに来館されたお客様に対し最適な商品のご案内・ご提案＆PCでの事務作業をお任せします♪,☆転勤なし☆全国の希望する勤務地への配属です♪ ■関東 東京都渋谷区(東京センター)、東京都立川市…,,《未経験者大歓迎！20代女性中心に活躍中》◇接客・販売の経験も活かせます！★現在の女性比率は90％以上★産休育休実績も多数★安心の研修あり♪,■関東／月給22万5610円〜25万7210円 ■関西／月給22万5610円 ■東海／月給21万6130円〜23万3510円 ■北…,2020/12/25
株式会社花満精機,《冷暖房完備の快適な職場！》◎装置の組立～検査～稼働チェックなどの業務をお任せ ※「工具の名前」「図面の読み方」などから丁寧に研修します。,《京都からの転勤は無し／マイカー・バイク・自転車通勤可※駐車場完備！》 本社または、久御山事業所に…,,《未経験スタート&第二新卒者歓迎》◎39歳までの方（若年層の長期キャリア形成を図るため）◎これから「ものづくり職に挑戦したい」という方、歓迎！,"月給18万円〜＋各種諸手当 ※経験・年齢を考慮の上、優遇します <<月収モデル>> ・40歳／月収30万7,000円",2020/12/15
株式会社京進,『京進 高校部』（英・数どちらか1科目）または『京進 小中部』（文系または理系の2科）で授業などを担当。未経験の方は2～6ヶ月の研修からスタート！,京都、滋賀、大阪、奈良、愛知の各拠点 ※勤務地はご希望をお伺いし、相談の上、調整いたします。 小中…,320万円～450万円,＜未経験・第二新卒歓迎＞◆四大卒以上 ◆35歳まで（※）★育休取得率100％！有休も取得しやすく、家庭やプライベートと無理なく両立できる職場です。,"月給22万4,000円以上 ※上記は大卒・初任給です。 ※固定残業代（2万円以上／月10時間分）を含みます。超…",2020/12/15
アルテリア・エンジニアリング株式会社,◆マンションやオフィスなどの建物における、LANや光ケーブルの配線、機器の設置などインターネット設備の工事・施工管理をお任せします。,【転勤なし】 ▼札幌事業所 北海道札幌市中央区大通西八丁目2番30号　レジディア大通西3階,,《学歴不問！第二新卒の方もポテンシャル採用します！》◆普通自動車運転免許（AT限定可）◆通信設備工事または電気工事の経験者（年数不問！）,月給24万円〜38万円＋残業手当＋賞与（年2回）＋その他手当 ※詳細は経験・スキル等を考慮の上決定し、…,2020/12/15
株式会社ティア,【高度な事務スキルや専門知識は不要！】当社が運営する葬儀会館にて、データ入力や電話対応などの事務作業全般をお任せします。,【 名古屋市・名古屋市近郊の会館にて勤務 】 名古屋市 名古屋市近郊 …あま市、海部郡、稲沢市、春…,320万円～360万円,【 事務職未経験OK＊要普免(AT可)／PCで文字入力ができる方 】事務デビューしたいけど…正直物足りなくなりそう。―――そんなあなたこそ、歓迎です。,【 月給20万6000円〜22万8500円＋諸手当 】 ★★賞与年2回(昨年度：3.5ヶ月分)★★ ★★福利厚生なども…,2020/12/24
株式会社ネットラインプレス,経理・総務のルーチンワークを主業務として、企業運営を支えていただきます。その後、スキルと経験に応じて仕事の幅を広げてください。,東京都渋谷区神宮前3-7-5 青山MSビル8F ★転勤はありません ≪アクセス≫ 銀座線 「外苑前…,,【経理の実務経験をお持ちの方】※業界は問いません,月給 24万1200円(一律手当含) 　※上記は最下限の給与です 　※経験・スキルを考慮し、当社規定により優…,2020/12/11
株式会社トウペ,販売代理店に向けて建築現場などで使われる「塗料」を提案・販売。★ルート営業がメイン！新規開拓に不安がある方も始めやすい営業です！,【 大阪本社もしくは東京営業所での勤務です。希望を考慮して決定します。】 ■本社 大阪府堺市西区築…,,【 未経験OK／まっさらなあなたを歓迎！】■大卒以上 ■要普免 ★人と話すことが好きならOK！★仕事もプライベートも大切にしたい方はぜひ！,"月給19万6,000円〜25万円＋諸手当 ※経験・スキルなどを考慮した上で決定します。 ※試用期間3ヵ月あり／…",2020/12/11
日本石油輸送株式会社,【100%自社開発】自社基幹システムの再構築プロジェクト(Webシステム開発・クラウド化)を推進★企画～設計・開発・運用保守をトータルにお任せします,【フレックスタイム制★大崎駅直結で通勤ラクラク】 本社 / 東京都品川区大崎1-11-1 ゲートシ…,450万円～800万円,【学歴不問／30代活躍中】応募条件 ⇒ Webシステム開発経験（言語・環境は一切不問）★人柄重視の採用 ★業界経験・知識などは一切問いません！,月給25万円〜40万円＋各種手当＋賞与 ※あなたの経験や年齢を考慮し決定します。 ※試用期間3ヶ月(試用期…,2020/12/11
DiDiフードジャパン株式会社,《スタートアップメンバー募集》DiDiフードを一人でも多くの方に使っていただくための加盟店獲得営業を行ないます。★知名度も高く成果も出しやすい◎,《転勤なし・UIターン歓迎・正社員登用制度あり》 【新規事業所】★2021年1月新規オープン予定！…,400万円～700万円,《人柄・ポテンシャル重視の採用》◎営業経験（接客系のお仕事も可）をお持ちの方(業界・年数・性別不問) ◆パッションがある方歓迎！,月給20万円〜50万円＋インセンティブ 《インセンティブについて》 毎月上長と加盟店獲得件数などの目標…,2020/12/22
中国電機製造株式会社,【資格・技術取得も惜しみなく支援！】発電所や工場などに使用される電気設備や監視制御装置などの開発・設計業務をご担当いただきます。,【転勤なし/UIターン歓迎】 広島県広島市南区大州4-4-32 JR「天神川駅」より徒歩2分 ※W…,300万円～500万円,■要普免 ■電気・電子系の高校・専門・大学を卒業された方 ※電子回路や基板の基礎知識・組み込みソフトウェアに関する知識をお持ちの方は優遇します,月給：26万円〜30万円+諸手当 ※経験・年齢・能力を考慮の上、決定します。 ※試用期間3ヶ月あり（期間…,2020/12/15
