会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
堀内硝子株式会社,"【""特別な容器""づくりに携わる】試薬・工業薬品・医薬品を入れるプラスチック容器の製造業務全般。将来的には試作品の開発にも携われます！",＼ 転勤なし ／ 【佐久工場】 長野県佐久市瀬戸553-17 佐久リサーチパーク内 ★マイカー通勤…,340万円～460万円,【U・Iターン歓迎！】■製造業での実務経験（業種不問）⇒機械装置の使用経験や一般的な工具の知識があると◎ ■要普通自動車免許（AT可）★,月給16万円以上 + 諸手当 ＜月収例＞ 月収36万円（28歳／残業代含む） ※経験、資格、能力等を考慮の上…,2020/12/18
空港施設株式会社,【残業は月約20時間】羽田空港エリアにある自社施設の保守・管理及び修繕工事の計画立案、発注、工程管理業務をお任せします。（常駐はしません。）,★JR浜松町駅から東京モノレールで15分圏内 ＜本社＞ 東京都大田区羽田空港1-6-5　第五綜合ビル,380万円～600万円,"【必須条件】普通自動車免許(AT限定可)／経験に加え主体性や仕事への意欲を評価！近しい業界やビルメン,設備管理,施工管理の経験があれば活かせます。",月給21万5000円以上+諸手当 ※経験・能力を考慮のうえ決定 ※試用期間4ヶ月間は調整手当の支給なし 上記…,2020/12/21
北信テレネックス株式会社,【あなたの提案がカギ！】取り扱っているメーカーから複数の商品を組み合せ、お客様のニーズを汲み取りながら最適な提案をします★20代～30代活躍中！,【本社】石川県金沢市小橋町3-47 ★マイカー通勤可能／敷地内無料駐車スペース有,330万円～460万円,【応募条件】法人営業の経験がある方、要普免(AT可) 【次の方は歓迎】協調性がある方、向上心のある方 ★働きやすい⇒家族手当や住宅手当など待遇充実,【本社(金沢)】 月給21万円〜 ※年齢・経験・能力を考慮の上、当社規定により決定します ※試用期間あり…,2020/12/15
株式会社道路建設コンサルタント,【道路・トンネル・橋梁・上下水道などいずれかを担当】◆実施設計・補修設計をメインとした土木設計をお任せします◆2~3人程のチームで行う仕事です,◆転勤なし・新浦安駅徒歩1分の好立地 【浦安技術所】 千葉県浦安市入船1-5-2 プライムタワー新…,500万円～800万円,◆技術士・RCCM・土木施工管理技士の資格をお持ちの方 ◆要普免（AT可）,月給27.5万円以上 【想定月収】 RCCM資格をお持ちの方：月収40万円（資格手当5千円／月含む） 技術士資…,2020/12/15
空港施設株式会社,空港エリア内の自社施設の保守・管理及び修繕工事の計画立案、発注、工程管理業務をお任せします。常駐はせず、実作業は協力会社に発注します。,「大阪空港」駅より徒歩10分 ■大阪事業所 大阪府池田市空港2-2-5 大阪綜合ビル,380万円～600万円,【業界経験不問】ビルメンテナンス、設備管理、PM業務などのに携わった経験をお持ちの方からのご応募を歓迎します！,月給21万5000円以上+諸手当 ※経験・能力を考慮のうえ決定 ※試用期間4ヶ月間は調整手当の支給なし 上記…,2020/12/21
株式会社東京科研,医薬品、食品、半導体産業系の企業に水処理装置、純水、超純水プラントのメンテナンス、改造、修繕をお任せ致します。※原則転勤無し,本社／東京都文京区湯島3-20-9 ※原則転勤はございません。,320万円～550万円,【応募条件】■35歳以下の方■高卒以上■要普免（AT限定可）☆水や環境、エネルギーに興味がある方、専門知識を身につけたい方歓迎！未経験OK！,月給21万4500円〜 ※経験・能力を考慮のうえ、加給・優遇します。 ※残業代込みの給与ではありません。 …,2020/12/11
日本原燃株式会社,核燃料サイクル事業を展開する当社にて、溶接工事の監理業務を行っていただきます。《完全週休2日制（土日祝休み）》,青森県上北郡六ヶ所村大字尾駮字沖付4番地108,400万円～850万円,【必須条件】施工管理や品質管理、ビル・建物管理などで溶接検査のご経験をお持ちの方 ★原子力関連のご経験をお持ちの方は歓迎！,"月給：250,000円〜 ※経験・年齢を考慮の上、当社規定により優遇します。",2020/12/08
日本原燃株式会社,核燃料サイクル事業を展開する当社にて、構内の工場内、建設現場、新規工場増設に伴う安全管理、現場指導業務を行っていただきます。,青森県上北郡六ヶ所村大字尾駮字沖付4番地108,400万円～850万円,【いずれかの経験をお持ちの方を募集】■工場での安全管理の経験 ■建設現場での施工管理・現場監督・現場班長などの経験 《完全週休2日制（土日）》,"月給：250,000円〜 ※経験・年齢を考慮の上、当社規定により優遇します。",2020/12/08
三和プラントエンジニアリング株式会社,【大手メーカー・官公庁物件を多数手掛ける！】電気施工管理の業務全般（工程管理、品質管理、予算管理、安全管理など）をお任せします！,本社：徳島県板野郡北島町太郎八須1-10 ※UIターン歓迎 ※マイカー通勤OK ※無料駐車場あり…,300万円～550万円,【研修＆資格支援制度あり！】◆高卒・高専以上◆電気工事に関わる施工管理の実務経験をお持ちの方歓迎！／未経験の方もゼロから技術のプロへ★,月給20万円〜32万円 ※年齢・経験・能力等を考慮の上、規定により優遇 ※試用期間3ヶ月（待遇に変更はあ…,2020/12/14
福井電機株式会社,【扱うのは日立製の産業用電気機器や空調設備機器など！】日立製品を中心に、企業様へ空調設備や電気設備の販売をおまかせいたします！,【JR常磐線柏駅より徒歩10分】 千葉県柏市中央２丁目１０−１,320万円～480万円,【◎20代・30代活躍中！ ◎学歴不問】電気・機械製品販売の営業経験1年以上ある方,月給21万円〜 +各種手当 +賞与(昨年度実績年3回) 等 ※経験、年齢を考慮し決定します。 ※試用期間3ヶ月…,2020/12/17
株式会社アイティエス,【月平均残業時間20時間】◆お客様先(ABB様構内)で、アイティエス社員として、機器の調整や修理を行うフィールドエンジニアのお仕事をお任せします。,静岡県伊豆の国市原木551 ABB様構内 ※マイカー通勤可　駐車場あり ※伊豆箱根鉄道 原木駅より…,300万円～400万円,【応募条件】◆専門卒以上◆普通自動車運転免許(AT限定可) ◆フィールドサービスの経験、電気回路に関する知識をお持ちの方,月給23万2000円〜 30万円 +諸手当 （試用期間3カ月あり。待遇は変わりません） ※経験・年齢を考慮の上…,2020/12/15
株式会社CAC,【本社オフィス内勤務】販売店様との窓口業務をお任せ！受注業務、書類作成・各種キャンペーン業務対応など。,◆初石駅徒歩5分！転勤なし・マイカー通勤OK 【本社】 千葉県流山市東初石2-186,270万円～390万円,"【応募条件】◎受発注経験（業界・年数不問） ◎基本的なPCスキル（Word,Excel）をお持ちの方 　＼20～30代の女性が活躍中！／",月給20万円〜25万円 ※経験や年齢等を考慮の上、当社規定により決定致します ※試用期間3ヶ月あり（待遇…,2020/12/01
